transaction_date,house_age,distance_to_MRT,convenience_stores,latitude,longitude,price_per_unit_area,transaction_year,transaction_month,age_category,distance_category,store_category,accessibility_score,price_category,location_cluster
2012.917,32.0,84.87882,10,24.98298,121.54024,37.9,2012,11,Old,Very_Close,Abundant,0.9921505660971196,Low,4
2012.917,19.5,306.5947,9,24.98034,121.53951,42.2,2012,11,Mature,Close,Abundant,0.9316466978143259,Low,4
2013.583,13.3,561.9845,5,24.98746,121.54391,47.3,2013,7,Modern,Close,Some,0.7480287286369758,Medium,4
2013.5,13.3,561.9845,5,24.98746,121.54391,54.8,2013,6,Modern,Close,Some,0.7480287286369758,Medium,4
2012.833,5.0,390.5684,5,24.97937,121.54245,43.1,2012,10,New,Close,Some,0.7638809677095681,Low,4
2012.667,7.1,2175.03,3,24.96305,121.51254,32.1,2012,8,Modern,Far,Some,0.518857309493912,Low,2
2012.667,34.5,623.4731,7,24.97933,121.53642,40.3,2012,8,Old,Close,Many,0.8223423783615991,Low,4
2013.417,20.3,287.6025,6,24.98042,121.54228,46.7,2013,5,Mature,Very_Close,Many,0.8134030608100682,Medium,4
2013.5,31.7,5512.038,1,24.95095,121.48458,18.8,2013,6,Old,Far,Few,0.13025707530848007,Low,0
2013.417,17.9,1783.18,3,24.96731,121.51486,22.1,2013,5,Mature,Far,Some,0.5550948617459777,Low,2
2013.083,34.8,405.2134,1,24.97349,121.53372,41.4,2013,1,Old,Close,Few,0.6025266256074079,Low,4
2013.333,6.3,90.45606,9,24.97433,121.5431,58.1,2013,4,Modern,Very_Close,Abundant,0.9516347934138931,Medium,4
2012.917,13.0,492.2313,5,24.96515,121.53737,39.3,2012,11,Modern,Close,Some,0.7544793736025208,Low,3
2012.667,20.4,2469.645,4,24.96108,121.51046,23.8,2012,8,Mature,Far,Some,0.5316118674708359,Low,2
2013.5,13.2,1164.838,4,24.99156,121.53406,34.3,2013,6,Modern,Moderate,Some,0.6522779688906679,Low,4
2013.583,35.7,579.2083,2,24.9824,121.54619,50.5,2013,7,Old,Close,Few,0.6264359039528387,Medium,4
2013.25,0.0,292.9978,6,24.97744,121.54458,70.1,2013,3,New,Very_Close,Many,0.8129041135964263,Medium,4
2012.75,17.7,350.8515,1,24.97544,121.53119,37.4,2012,9,Mature,Close,Few,0.6075539120480652,Low,4
2013.417,16.9,368.1363,8,24.9675,121.54451,42.3,2013,5,Mature,Close,Many,0.8859554461984633,Low,3
2012.667,1.5,23.38284,7,24.96772,121.54102,47.7,2012,8,New,Very_Close,Many,0.8778375988610394,Medium,3
2013.417,4.5,2275.877,3,24.96314,121.51151,29.3,2013,5,New,Far,Some,0.509531168286909,Low,2
2013.417,10.5,279.1726,7,24.97528,121.54541,51.6,2013,5,Modern,Very_Close,Many,0.8541826421338647,Medium,4
2012.917,14.7,1360.139,1,24.95204,121.54842,24.6,2012,11,Modern,Moderate,Few,0.5142168991129961,Low,1
2013.083,10.1,279.1726,7,24.97528,121.54541,47.9,2013,1,Modern,Very_Close,Many,0.8541826421338647,Medium,4
2013.0,39.6,480.6977,4,24.97353,121.53885,38.8,2013,0,Old,Close,Some,0.715545979274728,Low,4
2013.083,29.3,1487.868,2,24.97542,121.51726,27.0,2013,1,Mature,Moderate,Few,0.5424047610203482,Low,2
2012.667,3.1,383.8624,5,24.98085,121.54391,56.2,2012,8,New,Close,Some,0.7645011259982051,Medium,4
2013.25,10.4,276.449,5,24.95593,121.53913,33.6,2013,3,Modern,Very_Close,Some,0.7744345155479613,Low,3
2013.5,19.2,557.478,4,24.97419,121.53797,47.0,2013,6,Mature,Close,Some,0.708445481295452,Medium,4
2013.083,7.1,451.2438,5,24.97563,121.54694,57.1,2013,1,Modern,Close,Some,0.7582698206433056,Medium,4
2013.5,25.9,4519.69,0,24.94826,121.49587,22.1,2013,6,Mature,Far,Few,0.18202755508960286,Low,0
2012.75,29.6,769.4034,7,24.98281,121.53408,25.0,2012,9,Mature,Close,Many,0.8088470182201937,Low,4
2012.75,37.9,488.5727,1,24.97349,121.53451,34.2,2012,9,Old,Close,Few,0.5948177140610365,Low,4
2013.25,16.5,323.655,6,24.97841,121.54281,49.3,2013,3,Mature,Close,Many,0.8100689933031967,Medium,4
2012.75,15.4,205.367,7,24.98419,121.54243,55.1,2012,9,Mature,Very_Close,Many,0.8610080454425162,Medium,4
2013.5,13.9,4079.418,0,25.01459,121.51816,27.3,2013,6,Modern,Far,Few,0.22274308298323942,Low,4
2012.917,14.7,1935.009,2,24.96386,121.51458,22.9,2012,11,Modern,Far,Few,0.5010540009041278,Low,2
